amfi_code,name,isin,plan_type,option_type,nav,nav_date,day_change,day_change_pct,morningstar,risk_label,expense_ratio,aum,family_name,category,family_id,amc_name,amc_slug
135106,SBI Nifty 50 ETF,INF200KA1FS1,regular,growth,256.66,2026-04-30,-1.92,-0.74,3.0,Very High Risk,0.04,1919093600000.0,SBI Nifty 50 ETF,Large-Cap,5265,SBI Mutual Fund,sbi-mutual-fund
122640,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,INF879O01019,regular,growth,83.35,2026-04-30,-0.11,-0.13,5.0,Very High Risk,1.27,1289664900000.0,Parag Parikh Flexi Cap Fund,Flexi Cap,7428,PPFAS Mutual Fund,ppfas-mutual-fund
121109,SBI BSE SENSEX ETF,INF200K01VT2,regular,growth,851.66,2026-04-30,-6.46,-0.75,2.0,Very High Risk,0.04,1098498970000.0,SBI BSE SENSEX ETF,Large-Cap,5259,SBI Mutual Fund,sbi-mutual-fund
100119,HDFC Balanced Advantage Fund - Growth Plan,INF179K01830,regular,growth,514.735,2026-04-30,3.97,0.81,5.0,Very High Risk,1.35,1075896700000.0,HDFC Balanced Advantage Fund,Dynamic Asset Allocation,1378,HDFC Mutual Fund,hdfc-mutual-fund
101762,HDFC Flexi Cap Fund - Growth Plan,INF179K01608,regular,growth,1944.502,2026-04-30,28.82,1.55,5.0,Very High Risk,1.35,1004553200000.0,HDFC Flexi Cap Fund,Flexi Cap,1348,HDFC Mutual Fund,hdfc-mutual-fund
105758,HDFC Mid Cap Fund - Growth Plan,INF179K01CR2,regular,growth,196.732,2026-04-30,4.27,2.33,4.0,Very High Risk,1.37,942568960000.0,HDFC Mid Cap Fund,Mid-Cap,1352,HDFC Mutual Fund,hdfc-mutual-fund
102885,SBI EQUITY HYBRID FUND - REGULAR PLAN -Growth,INF200K01107,regular,growth,307.3436,2026-04-30,3.27,1.14,3.0,Very High Risk,1.38,823176460000.0,SBI EQUITY HYBRID FUND,Aggressive Allocation,5188,SBI Mutual Fund,sbi-mutual-fund
101144,ICICI Prudential Multi-Asset Fund - Growth,INF109K01761,regular,growth,800.12,2026-04-30,-2.02,-0.25,4.0,Very High Risk,1.31,776582660000.0,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation,1947,ICICI Prudential Mutual Fund,icici-prudential-mutual-fund
105968,Kotak Arbitrage Fund - Regular Plan - Growth,INF174K01302,regular,growth,39.3011,2026-04-30,-0.01,-0.03,4.0,Low Risk,0.98,712648600000.0,Kotak Arbitrage Fund,Arbitrage Fund,3735,Kotak Mahindra Mutual Fund,kotak-mahindra-mutual-fund
104685,ICICI Prudential Balanced Advantage Fund - Growth,INF109K01BH2,regular,growth,75.68,2026-04-30,0.71,0.98,4.0,High Risk,1.43,711507500000.0,ICICI Prudential Balanced Advantage Fund,Dynamic Asset Allocation,1940,ICICI Prudential Mutual Fund,icici-prudential-mutual-fund
